career_name,stream,after_10th_options,after_12th_options,skills_required,roadmap,recommended_courses,top_colleges,salary_range,growth_outlook,tags
Software Engineer,Science,"Choose PCM; Learn coding basics","B.Tech CSE; BCA+MCA","Programming;DSA;Problem Solving","Learn coding→Build projects→DSA→Internships","CS50;Full Stack Dev","IITs;NITs","4-40 LPA","Very High","coding;tech;ai"
Data Scientist,Science,"Focus on Math;Python basics","BSc Data Science;B.Tech","Python;ML;Statistics","Python→ML→Projects→Kaggle","Coursera ML;DL Specialization","IITs;ISI","6-50 LPA","Very High","ai;data"
Doctor,Science,"Choose PCB","MBBS via NEET","Biology;Diagnosis","NEET→MBBS→Specialization","NEET Coaching","AIIMS;JIPMER","6-30 LPA","High","medical;bio"
AI Engineer,Science,"PCM;Coding","B.Tech AI/ML","ML;DL;Python","ML basics→DL→Projects","Deep Learning Specialization","IITs","8-60 LPA","Very High","ai;ml"
Cybersecurity Analyst,Science,"Learn networking","B.Tech IT","Security;Networking","Certifications→Practice→Jobs","CEH;CompTIA","Top Engineering Colleges","5-25 LPA","Very High","security;tech"
Web Developer,Science,"HTML/CSS basics","B.Tech/BCA","Frontend;Backend","Frontend→Backend→Projects","Full Stack Bootcamp","Any","3-20 LPA","High","coding;web"
App Developer,Science,"Programming basics","B.Tech/BCA","Java/Kotlin;Flutter","Mobile dev→Apps→Publish","Android Dev","Any","4-25 LPA","High","coding;mobile"
Game Developer,Science,"Coding;Game basics","Game Dev Courses","Unity;C#","Unity→Projects→Portfolio","Unity Dev","Any","4-20 LPA","High","gaming"
Mechanical Engineer,Science,"PCM","B.Tech Mechanical","Mechanics;CAD","Degree→Internships","AutoCAD","IITs","3-12 LPA","Medium","engineering"
Civil Engineer,Science,"PCM","B.Tech Civil","Design;Math","Degree→Site work","STAAD","NITs","3-10 LPA","Medium","construction"
Electrical Engineer,Science,"PCM","B.Tech Electrical","Circuits","Degree→Projects","Electrical Courses","IITs","3-15 LPA","Medium","engineering"
Pilot,Science,"PCM","Pilot Training","Focus;Navigation","Flight school","DGCA","Flying Schools","10-80 LPA","High","aviation"
Pharmacist,Science,"PCB","B.Pharm","Chemistry","Degree→License","Pharmacy Courses","Pharma Colleges","3-10 LPA","Medium","medical"
Biotechnologist,Science,"PCB","Biotech Degree","Biology;Lab skills","Degree→Research","Biotech Courses","Top Universities","4-20 LPA","High","bio"
Astronomer,Science,"PCM","BSc Physics","Physics","Research","Astrophysics","IISc","5-25 LPA","Medium","space"
Chartered Accountant,Commerce,"Commerce","CA Foundation","Accounting","CA levels","CA Coaching","ICAI","6-25 LPA","High","finance"
Investment Banker,Commerce,"Commerce","BBA/MBA","Finance","MBA→Internships","Finance Courses","IIMs","10-50 LPA","High","finance"
Business Analyst,Commerce,"Commerce","BBA/MBA","Analysis","Projects","Business Analytics","Top B-schools","5-20 LPA","High","business"
Entrepreneur,Any,"Learn business","BBA/Startup","Leadership","Build startup","Startup Courses","NA","Variable","Very High","business"
Accountant,Commerce,"Commerce","BCom","Accounting","Degree→Job","Tally","Colleges","3-10 LPA","Stable","finance"
Banker,Commerce,"Commerce","BCom/MBA","Finance","Bank exams","Bank Coaching","Top Colleges","4-12 LPA","Stable","banking"
Marketing Manager,Commerce,"Commerce","MBA Marketing","Marketing","MBA→Job","Marketing Courses","IIMs","5-25 LPA","High","marketing"
